"","score","protein1","protein2"
"247",0.92,"CCL20","CX3CL1"
"248",0.995,"CX3CL1","CXCR4"
"249",0.994,"CX3CL1","CXCR1"
"250",0.999,"CX3CL1","CX3CR1"
"251",0.939,"CX3CL1","CXCR6"
"252",0.93,"CCR3","CX3CL1"
"253",0.971,"CD200R1","CX3CL1"
"254",0.997,"CCR2","CX3CL1"
"255",0.905,"CCR1","CX3CL1"
"256",0.99,"CX3CL1","CXCR3"
"257",0.904,"CCL4","CX3CL1"
"258",0.915,"CX3CL1","CXCR2"
"259",0.926,"CX3CL1","CXCL9"
"260",0.961,"CX3CL1","EGF"
"261",0.914,"CX3CL1","CXCL16"
"262",0.948,"CX3CL1","CXCL10"
"263",0.933,"TRAPPC13","TRAPPC6A"
"264",0.999,"TRAPPC2","TRAPPC6A"
"265",0.999,"TRAPPC1","TRAPPC6A"
"266",0.921,"RAB1A","TRAPPC6A"
"267",0.999,"TRAPPC4","TRAPPC6A"
"268",0.937,"TRAPPC3L","TRAPPC6A"
"269",0.999,"TRAPPC5","TRAPPC6A"
"270",0.998,"TRAPPC6A","TRAPPC8"
"271",0.989,"TRAPPC12","TRAPPC6A"
"272",0.992,"TRAPPC10","TRAPPC6A"
"273",0.965,"TRAPPC11","TRAPPC6A"
"274",0.997,"TRAPPC2L","TRAPPC6A"
"275",0.928,"TRAPPC6A","TRAPPC6B"
"276",0.968,"TRAPPC2B","TRAPPC6A"
"277",0.995,"TRAPPC6A","TRAPPC9"
"278",0.999,"TRAPPC3","TRAPPC6A"
"279",0.905,"TSR2","TSR3"
"280",0.918,"CRY1","PRKAG3"
"281",0.935,"CRY1","PRH2"
"282",0.94,"CRY1","PRH1"
"283",0.999,"CRY1","NPAS2"
"284",0.969,"BHLHE40","CRY1"
"285",0.945,"CRY1","NFIL3"
"286",0.999,"CRY1","CRY2"
"287",0.999,"CLOCK","CRY1"
"288",0.976,"CRY1","NR1D1"
"289",0.923,"CRY1","PRKAB2"
"290",0.997,"CRY1","TIMELESS"
"291",0.993,"CRY1","CSNK1D"
"292",0.913,"CRY1","PRKAG1"
"293",0.999,"ARNTL","CRY1"
"294",0.923,"CRY1","PRKAA1"
"295",0.999,"CRY1","FBXL3"
"296",0.961,"CRY1","TPTEP2-CSNK1E"
"297",0.914,"CRY1","NR3C1"
"298",0.999,"CRY1","CSNK1E"
"299",0.922,"CRY1","RORB"
"300",0.908,"CRY1","PRKAG2"
"301",0.998,"CRY1","PER1"
"302",0.92,"CRY1","PRKAB1"
"303",0.999,"CRY1","PER2"
"304",0.978,"BHLHE41","CRY1"
"305",0.935,"CRY1","RORA"
"306",0.999,"CRY1","PER3"
"307",0.923,"CRY1","PRKAA2"
"308",0.967,"CRY1","NR1D2"
"309",0.963,"HSPA4","PGLYRP1"
"310",0.92,"PGLYRP1","TREM1"
"311",0.942,"STARD3","STARD3NL"
"312",0.933,"STARD3NL","VAPA"
"313",0.987,"STAR","STARD3NL"
"314",0.907,"CAMK1G","NOS3"
"315",0.943,"CALM3","CAMK1G"
"316",0.98,"CD74","RPL30"
"317",0.978,"CD74","RPS17"
"318",0.971,"CD74","MRPL36"
"319",0.982,"CD74","HLA-DPB1"
"320",0.923,"CD74","RSAD1"
"321",0.982,"CD74","RPL4"
"322",0.98,"CD74","RPS7"
"323",0.94,"CD74","RPLP1"
"324",0.997,"CD74","HLA-DQB1"
"325",0.981,"CD74","RPS5"
"326",0.966,"CD74","HLA-DOA"
"327",0.937,"CD74","RPL26L1"
"328",0.967,"CD74","MRPL33"
"329",0.98,"CD74","RPS28"
"330",0.978,"CD74","RPS25"
"331",0.937,"CD74","MED1"
"332",0.994,"CD74","CXCR4"
"333",0.999,"CD44","CD74"
"334",0.935,"CD74","RPL10A"
"335",0.992,"CD74","HLA-DQA2"
"336",0.971,"CD74","MRPL12"
"337",0.969,"CD74","MRPL21"
"338",0.98,"CD74","RPL8"
"339",0.981,"CD74","RPS20"
"340",0.957,"CD74","MRPS9"
"341",0.981,"CD74","CTSS"
"342",0.981,"CD74","RPL23A"
"343",0.935,"CD74","RPL17"
"344",0.966,"CD74","HLA-DQB2"
"345",0.979,"CD74","RPS8"
"346",0.971,"CD74","MRPL17"
"347",0.904,"CD74","RPL22L1"
"348",0.981,"CD74","RPS15"
"349",0.981,"CD74","RPS2"
"350",0.975,"CD74","RPL24"
"351",0.935,"CD74","RPS10-NUDT3"
"352",0.972,"CD74","RPL37A"
"353",0.969,"CD74","MRPS6"
"354",0.973,"CD74","UBA52"
"355",0.978,"CD74","RPS6"
"356",0.937,"CD74","RPL26"
"357",0.932,"CD74","LGMN"
"358",0.972,"CD74","TUFM"
"359",0.981,"CD74","RPS24"
"360",0.981,"CD74","RPL11"
"361",0.934,"CD74","RPS27L"
"362",0.979,"CD74","RPS21"
"363",0.98,"CD74","RPL9"
"364",0.977,"CD74","RPL18"
"365",0.994,"CD74","HLA-DMA"
"366",0.936,"CD74","RPL7"
"367",0.938,"CD74","IMP3"
"368",0.968,"CD74","MRPL32"
"369",0.976,"CD74","RPL13"
"370",0.999,"CD74","MIF"
"371",0.98,"CD74","RPL6"
"372",0.905,"AKNAD1","CD74"
"373",0.981,"CD74","RPL36"
"374",0.978,"CD74","RPL27A"
"375",0.994,"CD74","HLA-DQA1"
"376",0.935,"CD74","RPS10"
"377",0.995,"CD74","HLA-DRB1"
"378",0.974,"CD74","RPL7A"
"379",0.981,"CD74","RPL23"
"380",0.932,"CD74","RPL7L1"
"381",0.985,"CD74","RPS19"
"382",0.934,"CD74","CXorf66"
"383",0.97,"CD74","MRPS16"
"384",0.976,"CD74","RACK1"
"385",0.977,"CD74","RPL15"
"386",0.98,"CD74","RPL35"
"387",0.981,"CD74","RPSA"
"388",0.979,"CD74","RPS12"
"389",0.978,"CD74","RPL19"
"390",0.981,"CD74","RPS16"
"391",0.982,"CD74","RPL5"
"392",0.979,"CD74","RPL34"
"393",0.982,"CD74","RPS18"
"394",0.93,"CD74","RPL10"
"395",0.994,"CD74","CXCR2"
"396",0.977,"CD74","RPL12"
"397",0.954,"CD74","CTSB"
"398",0.935,"CD74","RPLP2"
"399",0.94,"CD74","IFI35"
"400",0.982,"CD74","RPS9"
"401",0.981,"CD74","RPL38"
"402",0.931,"CD74","RPL39"
"403",0.943,"CD74","RPL13A"
"404",0.93,"CD74","RPL10L"
"405",0.935,"CD74","RPL17-C18orf32"
"406",0.985,"APP","CD74"
"407",0.979,"CD74","RPS23"
"408",0.927,"CD74","RSRC1"
"409",0.959,"CD74","MRPL20"
"410",0.982,"CD74","HLA-DMB"
"411",0.997,"CD74","FAU"
"412",0.967,"CD74","PDCD11"
"413",0.905,"CD74","RPL22"
"414",0.979,"CD74","RPL29"
"415",0.979,"CD74","RPL27"
"416",0.983,"CD74","RPLP0"
