"","score","protein1","protein2"
"51461",0.924,"SF3B3","TADA1"
"51462",0.994,"CRNKL1","SF3B3"
"51463",0.977,"SF3B3","XAB2"
"51464",0.947,"SF3B3","SGF29"
"51465",0.995,"SF3B3","SNRPB"
"51466",0.999,"SF3B3","SNRPE"
"51467",0.971,"PUF60","SF3B3"
"51468",0.994,"SF3B3","SMU1"
"51469",0.91,"KIN","SF3B3"
"51470",0.985,"SF3B3","SUPT20H"
"51471",0.904,"CWC15","SF3B3"
"51472",0.997,"CDC5L","SF3B3"
"51473",0.93,"PPIL1","SF3B3"
"51474",0.999,"SART1","SF3B3"
"51475",0.989,"IK","SF3B3"
"51476",0.986,"SF3B3","SNRPN"
"51477",0.971,"HNRNPK","SF3B3"
"51478",0.999,"SF3B3","SNRNP200"
"51479",0.997,"PRPF31","SF3B3"
"51480",0.995,"PRPF4","SF3B3"
"51481",0.904,"BCAS2","SF3B3"
"51482",0.985,"SF3B3","WBP4"
"51483",0.933,"SF3B3","YBX1"
"51484",0.937,"BUD31","SF3B3"
"51485",0.952,"SF3B3","SNRNP70"
"51486",0.976,"SF3B3","TAF9"
"51487",0.947,"SF3B3","TRRAP"
"51488",0.978,"DHX15","SF3B3"
"51489",0.999,"SF3B2","SF3B3"
"51490",0.99,"SF3B3","SNW1"
"51491",0.997,"DDX46","SF3B3"
"51492",0.955,"STX18","STX7"
"51493",0.939,"STX12","STX18"
"51494",0.932,"STX18","VTI1B"
"51495",0.999,"SEC22B","STX18"
"51496",0.912,"STX16","STX18"
"51497",0.998,"SCFD1","STX18"
"51498",0.941,"SNAP47","STX18"
"51499",0.994,"SHLD1","SHLD3"
"51500",0.998,"NMS","NMUR1"
"51501",0.906,"GNG2","NMUR1"
"51502",0.954,"GNB1","NMUR1"
"51503",0.96,"SWI5","TMEM208"
"51504",0.986,"BRD3","GATA1"
"51505",0.917,"BRD3","NSD2"
"51506",0.986,"BRD3","NSD3"
"51507",0.915,"BRD3","BRDT"
"51508",0.992,"BRD2","BRD3"
"51509",0.927,"PCDH15","USH2A"
"51510",0.999,"USH2A","WHRN"
"51511",0.905,"USH2A","VEZT"
"51512",0.938,"MYO7A","USH2A"
"51513",0.996,"ADGRV1","USH2A"
"51514",0.908,"LCA5","USH2A"
"51515",0.995,"PDZD7","USH2A"
"51516",0.927,"USH1G","USH2A"
"51517",0.911,"PRKACB","SIK2"
"51518",0.992,"CRTC2","SIK2"
"51519",0.935,"PRKACA","SIK2"
"51520",0.91,"PRKACG","SIK2"
"51521",0.979,"ALCAM","L1CAM"
"51522",0.965,"ALCAM","LGALS8"
"51523",0.999,"ALCAM","CD6"
"51524",0.937,"ENO1","PGK2"
"51525",0.96,"PGK1","PGK2"
"51526",0.981,"BPGM","PGK2"
"51527",0.964,"GPI","PGK2"
"51528",0.927,"CSTF3","PGK2"
"51529",0.93,"ENO2","PGK2"
"51530",0.984,"PGAM1","PGK2"
"51531",0.93,"ENO3","PGK2"
"51532",0.981,"PGAM4","PGK2"
"51533",0.999,"GAPDH","PGK2"
"51534",0.999,"ATP5ME","ATP5PB"
"51535",0.944,"ATP5ME","NDUFA5"
"51536",0.968,"ATP5ME","COX7C"
"51537",0.946,"ATP5ME","NDUFA6"
"51538",0.997,"ATP5ME","ATP5MPL"
"51539",0.914,"ATP5ME","CDCA8"
"51540",0.915,"ATP5ME","NDUFS8"
"51541",0.929,"ATP5ME","UQCR10"
"51542",0.968,"ATP5ME","NDUFS5"
"51543",0.933,"ATP5ME","UQCR11"
"51544",0.999,"ATP5MD","ATP5ME"
"51545",0.999,"ATP5ME","ATP5PF"
"51546",0.999,"ATP5F1C","ATP5ME"
"51547",0.991,"ATP5MC2","ATP5ME"
"51548",0.986,"ATP5ME","ATP5MGL"
"51549",0.998,"ATP5MC1","ATP5ME"
"51550",0.959,"ATP5ME","NDUFA13"
"51551",0.999,"ATP5ME","MT-ATP8"
"51552",0.979,"ATP5ME","UQCRQ"
"51553",0.999,"ATP5F1A","ATP5ME"
"51554",0.949,"ATP5ME","C17orf80"
"51555",0.922,"ATP5ME","NDUFA1"
"51556",0.908,"ATP5ME","NDUFB3"
"51557",0.999,"ATP5ME","MT-ATP6"
"51558",0.935,"ATP5ME","COX5A"
"51559",0.959,"ATP5ME","COX6C"
"51560",0.974,"ARF4","ASAP1"
"51561",0.905,"ARF4","GBF1"
"51562",0.953,"ARF4","IKBKG"
"51563",0.991,"MRM3","MRPL47"
"51564",0.903,"MRM3","MRPL42"
"51565",0.972,"MRM3","MRPL43"
"51566",0.923,"GTPBP3","MRM3"
"51567",0.974,"MRM3","MRPL24"
"51568",0.939,"MRM3","MRPL28"
"51569",0.956,"MRM3","MTG1"
"51570",0.997,"MALSU1","MRM3"
"51571",0.938,"MRM3","MRPL4"
"51572",0.981,"MRM3","MRPL13"
"51573",0.956,"MRM3","MRPS30"
"51574",0.99,"DDX28","MRM3"
"51575",0.979,"MRM3","MRPL11"
"51576",0.975,"MRM3","MRPL21"
"51577",0.965,"MRM3","NDUFAB1"
"51578",0.922,"GTPBP8","MRM3"
"51579",0.999,"FGA","FGB"
"51580",0.914,"FGB","SERPINF2"
"51581",0.999,"FGB","FGG"
"51582",0.905,"F13B","FGB"
"51583",0.954,"FGB","SERPINC1"
"51584",0.922,"FGB","FN1"
"51585",0.952,"FGB","ITGB3"
"51586",0.931,"FGB","GC"
"51587",0.999,"F2","FGB"
"51588",0.948,"FGB","PLG"
"51589",0.983,"CEP89","FBF1"
"51590",0.993,"CEP83","CEP89"
"51591",0.97,"DDX19A","NUP214"
"51592",0.932,"DDX19A","MIF4GD"
"51593",0.906,"CTIF","DDX19A"
"51594",0.958,"GPN2","RPAP1"
"51595",0.932,"RPAP1","RPAP2"
"51596",0.911,"PPP1CA","PRKCE"
"51597",0.905,"PRKCE","VDAC3"
"51598",0.917,"MARCKS","PRKCE"
"51599",0.907,"IRS4","PRKCE"
"51600",0.95,"PRKCE","TRPV1"
"51601",0.904,"MYLK2","PRKCE"
"51602",0.902,"PLA2G6","PRKCE"
"51603",0.921,"HRAS","PRKCE"
"51604",0.91,"PRKCD","PRKCE"
"51605",0.969,"PRKCE","YWHAZ"
"51606",0.915,"PPP1CB","PRKCE"
"51607",0.912,"PRKCE","VDAC2"
"51608",0.907,"MSN","PRKCE"
"51609",0.932,"PRKCE","RAF1"
"51610",0.911,"PRKCE","TRPV4"
"51611",0.912,"PRKCE","SLC25A5"
"51612",0.903,"EZR","PRKCE"
"51613",0.917,"MAPK8","PRKCE"
"51614",0.903,"MYLK3","PRKCE"
"51615",0.905,"MYLK","PRKCE"
"51616",0.901,"PRKCE","SPHK2"
"51617",0.956,"IRS2","PRKCE"
"51618",0.905,"PRKCE","SPHK1"
"51619",0.943,"PRKCE","VDAC1"
"51620",0.948,"NRAS","PRKCE"
"51621",0.904,"PRKCE","RDX"
"51622",0.91,"MAPK9","PRKCE"
"51623",0.901,"KCNJ8","PRKCE"
"51624",0.915,"PRKCE","SLC25A6"
"51625",0.91,"BRAF","PRKCE"
"51626",0.914,"PPP1CC","PRKCE"
"51627",0.906,"DRD5","GCG"
"51628",0.908,"DRD5","VIP"
"51629",0.949,"DRD5","GNAL"
"51630",0.958,"DRD5","GNAS"
"51631",0.918,"DRD5","POMC"
"51632",0.903,"DRD5","NPPA"
"51633",0.901,"DRD5","GIP"
"51634",0.904,"DRD5","FSHB"
"51635",0.909,"ADCYAP1","DRD5"
"51636",0.976,"ADORA2A","GRM5"
"51637",0.902,"DLG4","GRM5"
"51638",0.999,"GRM5","HOMER1"
"51639",0.975,"CAMK2A","GRM5"
"51640",0.915,"DLGAP1","GRM5"
"51641",0.946,"CHRM5","GRM5"
"51642",0.933,"CAMK2B","GRM5"
"51643",0.916,"GRIA1","GRM5"
"51644",0.929,"GRM5","HOMER3"
"51645",0.953,"GRM5","PRNP"
"51646",0.95,"CHRM1","GRM5"
"51647",0.916,"IL6","IL7R"
"51648",0.999,"IL7R","TSLP"
"51649",0.938,"IL7R","STAT5A"
"51650",0.906,"IL7R","PTPRC"
"51651",0.994,"IL7R","JAK1"
"51652",0.999,"IL2RG","IL7R"
"51653",0.988,"IL7R","JAK3"
"51654",0.914,"IL2RA","IL7R"
"51655",0.946,"CD8A","IL7R"
"51656",0.919,"IL10","IL7R"
"51657",0.999,"CRLF2","IL7R"
"51658",0.969,"ANKRD2","TTN"
"51659",0.941,"ANKRD2","TCAP"
"51660",0.999,"EMC6","MMGT1"
"51661",0.999,"EMC1","MMGT1"
"51662",0.999,"EMC10","MMGT1"
"51663",0.999,"EMC9","MMGT1"
"51664",0.934,"FOS","GDNF"
"51665",0.959,"FOS","PRKACA"
"51666",0.97,"FOS","NCOA3"
"51667",0.96,"FOS","MAPK11"
"51668",0.986,"FOS","MAPK8"
"51669",0.998,"FOS","MAF"
"51670",0.92,"FOS","MITF"
"51671",0.941,"EGR3","FOS"
"51672",0.941,"CARM1","FOS"
"51673",0.998,"FOS","NFATC2"
"51674",0.944,"FOS","SP1"
"51675",0.946,"FOS","PRKCA"
"51676",0.959,"FOS","PRKACG"
"51677",0.977,"FOS","MAPK9"
"51678",0.983,"FOS","MAFB"
"51679",0.999,"FOS","JUN"
"51680",0.917,"FOS","RELA"
"51681",0.959,"FOS","PRKACB"
"51682",0.986,"FOS","SRC"
"51683",0.905,"DDIT3","FOS"
"51684",0.933,"FOS","NR4A1"
"51685",0.994,"ATF3","FOS"
"51686",0.976,"FOS","SMAD3"
"51687",0.998,"CREB1","FOS"
"51688",0.933,"FOS","RPS6KB2"
"51689",0.987,"FOS","RUNX2"
"51690",0.965,"FOS","MYC"
"51691",0.93,"FOS","PRKCB"
"51692",0.998,"FOS","FOSL1"
"51693",0.949,"FOS","NCOA1"
"51694",0.983,"ATF7","FOS"
"51695",0.999,"ESR1","FOS"
"51696",0.961,"ESR2","FOS"
"51697",0.926,"FOS","TJP2"
"51698",0.942,"FOS","NFATC1"
"51699",0.908,"ITPR1","TESPA1"
"51700",0.98,"CALML4","ITPR1"
"51701",0.965,"ITPR1","ITPR3"
"51702",0.947,"ITPR1","PLCB4"
"51703",0.935,"ITPR1","PLCD1"
"51704",0.95,"HOMER1","ITPR1"
"51705",0.962,"ITPR1","PLCG2"
"51706",0.953,"ITPR1","STIM1"
"51707",0.996,"BCL2","ITPR1"
"51708",0.946,"CA8","ITPR1"
"51709",0.998,"BECN1","ITPR1"
"51710",0.984,"ITPR1","TRPC1"
"51711",0.937,"ITPR1","PRKCB"
"51712",0.995,"HTT","ITPR1"
"51713",0.943,"ITPR1","ITPR2"
"51714",0.965,"AHCYL1","ITPR1"
"51715",0.972,"ITPR1","PRKACB"
"51716",0.908,"BECN2","ITPR1"
"51717",0.907,"ITPR1","KAT5"
"51718",0.996,"ATXN3L","ITPR1"
"51719",0.993,"CYCS","ITPR1"
"51720",0.945,"ITPR1","TRPC3"
"51721",0.94,"ITPR1","PSEN1"
"51722",0.981,"AKT1","ITPR1"
"51723",0.92,"ITPR1","PLCD4"
"51724",0.922,"ITPR1","PLCE1"
"51725",0.996,"ATXN2","ITPR1"
"51726",0.995,"ITPR1","MRVI1"
"51727",0.929,"ITPR1","PLCD3"
"51728",0.996,"ITPR1","VDAC1"
"51729",0.968,"ITPR1","PLCB3"
"51730",0.95,"ITPR1","PLCB1"
"51731",0.983,"CALML5","ITPR1"
"51732",0.934,"ITPR1","PRKG1"
"51733",0.986,"ANK2","ITPR1"
"51734",0.937,"ITPR1","PRKCA"
"51735",0.954,"ITPR1","PSEN2"
"51736",0.971,"ITPR1","PRKACG"
"51737",0.984,"CALML3","ITPR1"
"51738",0.923,"ITPR1","NOS1"
"51739",0.996,"ATXN3","ITPR1"
"51740",0.924,"ERLIN2","ITPR1"
"51741",0.905,"HOMER3","ITPR1"
"51742",0.974,"ITPR1","PRKACA"
"51743",0.957,"KCNK3","S100A10"
"51744",0.986,"KCNK3","KCNK9"
"51745",0.999,"GON7","TP53RK"
"51746",0.999,"GON7","LAGE3"
"51747",0.999,"GON7","TPRKB"
"51748",0.991,"RAF1","YWHAG"
"51749",0.903,"TH","YWHAG"
"51750",0.985,"YWHAG","YWHAZ"
"51751",0.91,"YWHAG","YWHAQ"
"51752",0.926,"FOXO1","YWHAG"
"51753",0.908,"CSNK1E","YWHAG"
"51754",0.979,"CDC25C","YWHAG"
"51755",0.94,"TFEB","YWHAG"
"51756",0.907,"CASP2","YWHAG"
"51757",0.993,"BRAF","YWHAG"
"51758",0.908,"CSNK1D","YWHAG"
"51759",0.94,"BAD","YWHAG"
"51760",0.907,"CTNNA2","YWHAG"
"51761",0.934,"WWTR1","YWHAG"
"51762",0.954,"FOXO3","YWHAG"
"51763",0.936,"CTNNA3","YWHAG"
"51764",0.953,"YWHAB","YWHAG"
"51765",0.973,"YAP1","YWHAG"
"51766",0.962,"FOXJ1","RFX2"
"51767",0.903,"NDUFC1","UQCRFS1"
"51768",0.951,"COX6B2","UQCRFS1"
"51769",0.98,"NDUFB3","UQCRFS1"
"51770",0.999,"MT-CYB","UQCRFS1"
"51771",0.995,"NDUFAB1","UQCRFS1"
"51772",0.999,"NDUFS1","UQCRFS1"
"51773",0.999,"NDUFV2","UQCRFS1"
"51774",0.975,"R3HDM4","UQCRFS1"
"51775",0.999,"COX5A","UQCRFS1"
"51776",0.999,"UQCRFS1","UQCRQ"
"51777",0.999,"MT-CO1","UQCRFS1"
"51778",0.976,"COX7B","UQCRFS1"
"51779",0.984,"UQCRFS1","UQCRHL"
"51780",0.997,"MT-ND3","UQCRFS1"
"51781",0.997,"MT-ND4","UQCRFS1"
"51782",0.976,"NDUFA4","UQCRFS1"
"51783",0.999,"NDUFA13","UQCRFS1"
"51784",0.951,"SDHC","UQCRFS1"
"51785",0.949,"COA6","UQCRFS1"
"51786",0.97,"ATP5F1C","UQCRFS1"
"51787",0.999,"NDUFA12","UQCRFS1"
"51788",0.925,"GATC","UQCRFS1"
"51789",0.906,"HTT","UQCRFS1"
"51790",0.999,"UQCRB","UQCRFS1"
"51791",0.999,"NDUFA6","UQCRFS1"
"51792",0.984,"PMPCA","UQCRFS1"
"51793",0.999,"CYCS","UQCRFS1"
"51794",0.998,"SDHB","UQCRFS1"
"51795",0.904,"PWWP3A","UQCRFS1"
"51796",0.952,"BCS1L","UQCRFS1"
"51797",0.993,"MT-ND5","UQCRFS1"
"51798",0.969,"ATP5PB","UQCRFS1"
"51799",0.999,"NDUFA5","UQCRFS1"
"51800",0.978,"COX6C","UQCRFS1"
"51801",0.999,"MT-CO2","UQCRFS1"
"51802",0.911,"NDUFA1","UQCRFS1"
"51803",0.999,"NDUFA11","UQCRFS1"
"51804",0.993,"COX4I2","UQCRFS1"
"51805",0.911,"MT-ATP6","UQCRFS1"
"51806",0.999,"CYC1","UQCRFS1"
"51807",0.999,"COX4I1","UQCRFS1"
"51808",0.997,"MT-ND1","UQCRFS1"
"51809",0.979,"MT-ND4L","UQCRFS1"
"51810",0.999,"NDUFV1","UQCRFS1"
"51811",0.927,"NDUFA3","UQCRFS1"
"51812",0.95,"ATP5F1A","UQCRFS1"
"51813",0.992,"MT-ND2","UQCRFS1"
"51814",0.904,"PWWP3B","UQCRFS1"
"51815",0.999,"UQCRFS1","UQCRH"
"51816",0.915,"NDUFV3","UQCRFS1"
"51817",0.949,"ATP5MC2","UQCRFS1"
"51818",0.953,"ATP5MC1","UQCRFS1"
"51819",0.997,"COX6B1","UQCRFS1"
"51820",0.959,"LYRM7","UQCRFS1"
"51821",0.997,"NDUFA8","UQCRFS1"
"51822",0.999,"MT-CO3","UQCRFS1"
"51823",0.999,"UQCR10","UQCRFS1"
"51824",0.983,"OR10W1","UQCRFS1"
"51825",0.999,"NDUFS2","UQCRFS1"
"51826",0.999,"NDUFS5","UQCRFS1"
"51827",0.928,"COX7A2L","UQCRFS1"
"51828",0.999,"UQCR11","UQCRFS1"
"51829",0.985,"NDUFB6","UQCRFS1"
"51830",0.999,"NDUFS8","UQCRFS1"
"51831",0.952,"SDHD","UQCRFS1"
"51832",0.925,"NDUFB1","UQCRFS1"
"51833",0.999,"COX7C","UQCRFS1"
"51834",0.987,"C1orf198","UQCRFS1"
"51835",0.96,"ARMC4","TTC25"
"51836",0.988,"ARMC4","CCDC114"
"51837",0.98,"ARMC4","CCDC151"
"51838",0.947,"CHCHD7","PLAG1"
"51839",0.995,"GPR37","PRKN"
"51840",0.99,"GPR37","PSAP"
"51841",0.933,"B4GALT6","GLB1"
"51842",0.936,"B4GALT6","GBA"
"51843",0.985,"B4GALT6","UGCG"
"51844",0.905,"B3GNT5","B4GALT6"
"51845",0.939,"A4GALT","B4GALT6"
"51846",0.951,"B4GALT6","ST3GAL5"
"51847",0.936,"B4GALT6","GBA2"
"51848",0.967,"IVL","SPRR1B"
"51849",0.929,"SPRR1B","SPRR2E"
"51850",0.938,"SPRR1B","SPRR2A"
"51851",0.937,"SPRR1B","SPRR2D"
"51852",0.999,"SPRR1A","SPRR1B"
"51853",0.951,"SPRR1B","SPRR2B"
"51854",0.928,"LOR","SPRR1B"
"51855",0.941,"SHC1","SHCBP1"
"51856",0.965,"RACGAP1","SHCBP1"
"51857",0.901,"CHRM1","LPAR5"
"51858",0.907,"CHRM1","F2R"
"51859",0.904,"CHRM1","LPAR4"
"51860",0.916,"CHRM1","LPAR1"
"51861",0.911,"CHRM1","GNG12"
"51862",0.931,"CHRM1","LPAR6"
"51863",0.905,"CHRM1","CHRM5"
"51864",0.908,"CHRM1","LPAR3"
"51865",0.908,"CHRM1","CHRM2"
"51866",0.914,"CHRM1","KNG1"
"51867",0.901,"RAB33B","RIC1"
"51868",0.94,"RAB33B","TBC1D25"
"51869",0.999,"ATG16L1","RAB33B"
"51870",0.949,"ATG16L2","RAB33B"
"51871",0.949,"ATG5","RAB33B"
"51872",0.977,"KCNJ12","KCNJ4"
"51873",0.903,"KCNJ18","KCNJ4"
"51874",0.935,"DLG4","KCNJ4"
"51875",0.943,"KCNJ4","KCNQ3"
"51876",0.925,"KCNJ4","KCNQ5"
"51877",0.951,"KCNJ4","KCNQ2"
"51878",0.906,"KCNJ14","KCNJ4"
"51879",0.941,"CCL20","CXCL8"
"51880",0.975,"CXCL8","PTGS2"
"51881",0.933,"CXCL8","TLR4"
"51882",0.97,"CXCL8","IL10"
"51883",0.951,"CXCL12","CXCL8"
"51884",0.957,"CXCL1","CXCL8"
"51885",0.98,"CCL5","CXCL8"
"51886",0.998,"CCL8","CXCL8"
"51887",0.925,"CCL19","CXCL8"
"51888",0.988,"CCL4","CXCL8"
"51889",0.999,"CXCL8","CXCR2"
"51890",0.946,"CXCL11","CXCL8"
"51891",0.977,"CCL3","CXCL8"
"51892",0.987,"CXCL8","JUN"
"51893",0.924,"CXCL8","IL17A"
"51894",0.995,"CXCL8","RELA"
"51895",0.991,"CXCL8","IL6"
"51896",0.982,"CXCL2","CXCL8"
"51897",0.959,"CXCL8","CXCL9"
"51898",0.986,"CCR3","CXCL8"
"51899",0.914,"CX3CR1","CXCL8"
"51900",0.997,"CXCL8","CXCR4"
"51901",0.983,"CXCL8","TNF"
"51902",0.997,"CXCL8","CXCR3"
"51903",0.999,"ACKR1","CXCL8"
"51904",0.907,"CCL7","CXCL8"
"51905",0.998,"MRPL13","MRPL43"
"51906",0.958,"MRPL13","RPS26"
"51907",0.999,"MRPL13","MRPL47"
"51908",0.998,"MRPL13","MRPS14"
"51909",0.998,"MRPL13","MRPS15"
"51910",0.965,"MRPL13","RPL21"
"51911",0.984,"MRPL13","MRPL42"
"51912",0.997,"MRPL13","MRPL46"
"51913",0.969,"MRPL13","MRPL48"
"51914",0.999,"MRPL13","MRPL23"
"51915",0.958,"CHCHD1","MRPL13"
"51916",0.919,"GTPBP3","MRPL13"
"51917",0.999,"MRPL13","MRPL19"
"51918",0.972,"MRPL13","SYNCRIP"
"51919",0.962,"MRPL13","RPL35A"
"51920",0.947,"MRPL13","RPL28"
"51921",0.962,"MRPL13","MRPL52"
"51922",0.999,"MRPL13","MRPL9"
"51923",0.969,"MRPL13","RPL31"
"51924",0.999,"MRPL13","MRPL22"
"51925",0.908,"C12orf65","MRPL13"
"51926",0.999,"MRPL13","MRPL41"
"51927",0.997,"FAU","MRPL13"
"51928",0.935,"MRPL13","PDCD11"
"51929",0.997,"MRPL13","MRPL40"
"51930",0.999,"MRPL13","MRPL24"
"51931",0.964,"CUL7","MRPL13"
"51932",0.992,"MRPL13","MRPL30"
"51933",0.99,"MRPL13","MRPS2"
"51934",0.97,"MRPL13","MRPL28"
"51935",0.973,"MRPL13","RPS3A"
"51936",0.934,"MRPL13","PPP1R26"
"51937",0.988,"MRPL13","MRRF"
"51938",0.987,"MRPL13","MRPL38"
"51939",0.942,"MRPL13","RPL38"
"51940",0.98,"MRPL13","MTG1"
"51941",0.993,"EPRS1","MRPL13"
"51942",0.994,"MRPL1","MRPL13"
"51943",0.999,"MRPL13","MRPL20"
"51944",0.995,"DAP3","MRPL13"
"51945",0.987,"MRPL13","RPS9"
"51946",0.991,"MALSU1","MRPL13"
"51947",0.977,"MRPL13","MRPL37"
"51948",0.965,"MRPL13","RPL15"
"51949",0.996,"MRPL13","RPL23"
"51950",0.97,"MRPL13","RPS19"
"51951",0.937,"ACSF2","MRPL13"
"51952",0.97,"MRPL13","MRPL45"
"51953",0.999,"MRPL13","MRPS16"
"51954",0.975,"MRPL13","RPL5"
"51955",0.993,"MRPL13","RPS18"
"51956",0.953,"MRPL13","RPL34"
"51957",0.966,"MRPL13","MRPL54"
"51958",0.956,"MRPL13","RPS21"
"51959",0.916,"MRPL13","RPL9"
"51960",0.973,"MRPL13","MRPS30"
"51961",0.977,"MRPL13","RPL18"
"51962",0.975,"MRPL13","MRPL35"
"51963",0.914,"DDX28","MRPL13"
"51964",0.97,"MRPL13","RPS24"
"51965",0.973,"MRPL13","RPL11"
"51966",0.996,"MRPL13","TUFM"
"51967",0.997,"MRPL13","MRPS12"
"51968",0.97,"GADD45GIP1","MRPL13"
"51969",0.999,"MRPL11","MRPL13"
"51970",0.998,"MRPL13","MRPL2"
"51971",0.952,"MRPL13","RPL36"
"51972",0.999,"MRPL13","MRPL4"
"51973",0.998,"MRPL13","MRPS11"
"51974",0.937,"MRPL13","MRPL14"
"51975",0.919,"MRPL13","MRPL57"
"51976",0.983,"MRPL13","RPL13"
"51977",0.905,"MRPL13","MRPS27"
"51978",0.97,"MRPL13","MRPL55"
"51979",0.999,"MRPL13","MRPL21"
"51980",0.941,"MRPL13","MRPS33"
"51981",0.981,"MRPL13","RPL23A"
"51982",0.951,"MRPL13","RPS25"
"51983",0.998,"MRPL12","MRPL13"
"51984",0.938,"GTPBP6","MRPL13"
"51985",0.991,"MRPL13","NDUFAB1"
"51986",0.947,"MRPL13","UBA52"
"51987",0.968,"MRPL13","RPS6"
"51988",0.957,"MRPL13","MRPS23"
"51989",0.946,"HIBCH","MRPL13"
"51990",0.972,"MRPL13","RPS8"
"51991",0.973,"MRPL13","RPS15"
"51992",0.974,"MRPL13","MRPL50"
"51993",0.956,"MRPL13","RPL37A"
"51994",0.998,"MRPL13","MRPS6"
"51995",0.961,"MRPL13","RPL24"
"51996",0.999,"MRPL13","MRPL36"
"51997",0.958,"GAPDH","MRPL13"
"51998",0.953,"MRPL13","RPL30"
"51999",0.942,"MRPL13","RPS17"
"52000",0.969,"MRPL13","MRPL18"
"52001",0.928,"GFM2","MRPL13"
"52002",0.933,"MRPL13","MRPS22"
"52003",0.939,"MRPL13","RPS5"
"52004",0.912,"GTPBP8","MRPL13"
"52005",0.961,"MRPL13","RPS28"
"52006",0.993,"MRPL13","MRPS18A"
"52007",0.939,"MRPL13","RPS7"
"52008",0.943,"MRPL13","RPLP1"
"52009",0.986,"NEIL1","OGG1"
"52010",0.903,"LIG3","OGG1"
"52011",0.922,"NUDT1","OGG1"
"52012",0.974,"MUTYH","OGG1"
"52013",0.903,"ADH1B","CYP27C1"
"52014",0.905,"ADH1B","AWAT2"
"52015",0.905,"ADH1B","DGAT1"
"52016",0.946,"ADH1B","MAOA"
"52017",0.988,"ADH1B","CYP2E1"
"52018",0.969,"ADH1B","AVP"
"52019",0.913,"ADH1B","LRAT"
"52020",0.936,"ADH1B","COMT"
"52021",0.986,"ADH1B","ADH1C"
"52022",0.934,"ADH1B","MAOB"
"52023",0.952,"ADH1B","AOX1"
"52024",0.976,"PPIH","SNRPD2"
"52025",0.972,"LSM2","PPIH"
"52026",0.999,"PPIH","SNU13"
"52027",0.981,"EFTUD2","PPIH"
"52028",0.983,"PPIH","PRPF8"
"52029",0.956,"LSM5","PPIH"
"52030",0.969,"PPIH","SNRPG"
"52031",0.999,"PPIH","PRPF3"
"52032",0.934,"PPIH","SART1"
"52033",0.907,"PPIH","SMU1"
"52034",0.962,"PPIH","SNRPB"
"52035",0.973,"PPIH","SNRPE"
"52036",0.965,"PPIH","WBP4"
"52037",0.965,"PPIH","SNRNP200"
"52038",0.999,"PPIH","PRPF4"
"52039",0.999,"PPIH","PRPF31"
"52040",0.968,"ASPSCR1","SLC2A4"
"52041",0.997,"ASPSCR1","NSFL1C"
"52042",0.985,"ASPSCR1","TFE3"
"52043",0.996,"ASPSCR1","UBXN10"
"52044",0.998,"ASPSCR1","VCP"
"52045",0.997,"ASPSCR1","UBXN2A"
"52046",0.997,"ASPSCR1","NPLOC4"
"52047",0.997,"ASPSCR1","UBXN2B"
"52048",0.996,"ASPSCR1","FAF1"
"52049",0.92,"ADRA1B","GNA13"
"52050",0.949,"ADRA1B","ADRA1D"
"52051",0.957,"ADRA1A","ADRA1B"
"52052",0.97,"NUDT16L1","SDC4"
"52053",0.99,"NUDT16L1","TP53BP1"
"52054",0.946,"ANKK1","TTC12"
"52055",0.952,"ANKK1","DRD2"
"52056",0.918,"CHEK2","PPM1D"
"52057",0.998,"BOLA2B","GLRX3"
"52058",0.994,"BOLA2B","BOLA3"
"52059",0.902,"CPLX2","NEUROD2"
"52060",0.981,"CROCC","LRRC45"
"52061",0.923,"CNTLN","LRRC45"
"52062",0.917,"LDB2","LHX3"
"52063",0.995,"GATA1","LDB2"
"52064",0.983,"GATA2","LDB2"
"52065",0.941,"LDB2","LHX2"
"52066",0.955,"LDB2","LMO1"
"52067",0.905,"LDB2","ZFPM1"
"52068",0.937,"ARL6IP1","RPL14"
"52069",0.949,"ARL6IP1","RPL21"
"52070",0.949,"ARL6IP1","RPS29"
"52071",0.934,"ARL6IP1","RPS26"
"52072",0.961,"ARL6IP1","RPL31"
"52073",0.937,"ARL6IP1","RPL28"
"52074",0.936,"ARL6IP1","RPL35A"
"52075",0.96,"ARL6IP1","RPS3A"
"52076",0.963,"ARL6IP1","RPS13"
"52077",0.942,"ARL6IP1","RPL27"
"52078",0.988,"ARL6IP1","FAU"
"52079",0.912,"ARL6IP1","PDCD11"
"52080",0.952,"ARL6IP1","RPL32"
"52081",0.933,"ARL6IP1","RPLP0"
"52082",0.942,"ARL6IP1","RPS9"
"52083",0.913,"ARL6IP1","RPL13A"
"52084",0.948,"ARL6IP1","RPL38"
"52085",0.933,"ARL6IP1","RPS14"
"52086",0.927,"ARL6IP1","RPL12"
"52087",0.966,"ARL6IP1","RPS18"
"52088",0.944,"ARL6IP1","RPL34"
"52089",0.944,"ARL6IP1","RPS16"
"52090",0.946,"ARL6IP1","RPL5"
"52091",0.961,"ARL6IP1","RPL23"
"52092",0.947,"ARL6IP1","RPS19"
"52093",0.94,"ARL6IP1","RPL15"
"52094",0.937,"ARL6IP1","RACK1"
"52095",0.947,"ARL6IP1","RPSA"
"52096",0.941,"ARL6IP1","RPL13"
"52097",0.967,"ARL6IP1","RPL27A"
"52098",0.935,"ARL6IP1","RPL7A"
"52099",0.944,"ARL6IP1","RPL6"
"52100",0.939,"ARL6IP1","RPL36"
